GeneName,SARS-CoV-1_L2FC,IAV_L2FC,MERS-CoV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2)LowMOI_L2FC,SARS-CoV-2(A549-ACE2)HiMOI_L2FC,SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_SARS-CoV-1,padj_IAV,padj_MERS-CoV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2)LowMOI,padj_SARS-CoV-2(A549-ACE2)HiMOI,padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
IFNL1,0,1.3697,0,7.83798791,7.1427616,7.2399,0,0,5.07769153,3.54762827,1,1,1,2.62E-68,4.51E-44,2.53E-139,1,0,1,1
IFNL2,0,1.37928,0.12531,6.84392242,4.83832917,7.87792,0,0,5.24602641,1.94743576,1,1,1,1.48E-48,9.74E-17,5.69E-107,1,0,2.69E-20,1
IFNL3,0,1.81542,0,6.22504312,4.82734711,7.46801,0,0,5.04584757,2.51074643,1,1,1,3.66E-35,3.19E-16,5.51E-102,1,0,2.37E-18,1
IFNB1,0,0.46829,0,6.44045933,4.85703605,8.6983,-0.12712,0.38762,5.75519444,3.92002811,1,1,1,2.13E-42,4.92E-17,0,1,0,1.15E-28,1.54E-12
IFNL4,0,0.23979,0.12516,2.61564588,0,3.32584,0,0,1.53557052,0.29746973,1,1,1,1,1,4.20E-11,1,0,1,1
CCL5,-0.02971,2.43615,0.0376,3.30495423,4.01075786,4.89652,2.84202,0,1.36975915,0.06692108,1,1.11E-06,1,1,1,6.25E-197,1.08E-102,0,0.00029413,0.81720156
CCL4,0,0,0,3.5264107,3.81270883,0.61408,-0.21691,2.11189,3.19067365,1.74882212,1,1,1,7.78E-09,1.61E-09,0,1,0,3.40E-10,1
TLR3,-0.12159,-0.15015,-0.80242,3.78933241,2.72455302,2.38014,0.34487,0.3227,1.541934,-1.2878691,0.77820312,1,0.062944,2.53E-19,2.05E-12,5.27E-26,0.22467779,0.37619786,1.31E-05,0.00064067
IL23A,-0.21513,0.12652,0.19131,1.7679386,1.49328627,2.02048,1.74424,2.67292,2.36452633,2.09841726,0.60927055,1,0.70243945,1,1,1.91E-13,1.32E-07,6.55E-10,1,1
CCL22,0.23309,0,0.24449,0.63908223,1.04437831,3.31609,0.41138,0.28917,-0.0523563,0.72811776,1,1,1,1,1,4.22E-64,1,0,1,1
LGALS9,-0.16391,-0.14644,0.25399,1.39923871,0.77023041,2.43279,-0.58183,1.37529,2.80970967,2.04417588,0.58099536,1,0.28298473,1,1,5.09E-73,0.07825199,4.01E-05,5.80E-27,2.34E-15
IFIT2,0.16924,1.5167,0.07479,8.06189182,7.0300585,5.19288,0.74401,1.03186,6.45368519,3.46971072,0.58288938,0.00198659,0.85924461,7.12E-156,7.89E-189,0,0.00161627,0.00032421,1,1
OASL,-0.23452,0.04043,0.03073,7.61358424,7.3527958,3.38875,0.76767,1.05932,7.13716198,2.06755814,1,0.97362517,1,3.25E-124,8.55E-96,1.22E-176,0.00734303,0,1,2.58E-06
IFIT3,0.10588,0.22476,-0.35712,6.76136847,5.90483892,4.84201,0.74976,0.5497,5.96356698,1.60717321,0.67847733,0.80335618,0.07013572,7.53E-172,1.02E-197,0,2.46E-05,0.16608496,1,1
RSAD2,-0.12139,-0.07742,-0.12644,6.91856235,6.14851495,5.05465,-0.24441,0,4.33274549,2.41581858,1,1,1,6.12E-59,4.35E-38,0,1,0,1,1
OAS2,-0.15228,-0.76923,0.03289,7.4722759,6.84732463,4.80743,0.21402,0.32857,5.62446436,0.95611727,1,0.29432394,1,9.98E-76,1,0,1,0,1,0.0882575
MX1,-0.18936,-0.80066,-0.06035,7.38420342,6.34616539,3.82435,0.85963,0.23343,5.21736549,0.55653311,0.62407554,0.22307747,0.87784222,2.14E-161,5.10E-157,0,0.00040351,0,1,0.10283133
IFIT1,-0.24381,0.01582,-0.46847,7.47591043,6.51739365,4.4881,-1.2204,0.75816,6.67297434,1.60288897,0.20052015,0.9862813,0.0457006,2.04E-86,4.92E-94,0,2.59E-10,0.06513351,1,1
GBP1,0.12005,-0.12662,-0.4513,5.24061663,5.81996079,4.03727,1.63549,-0.35044,2.47878269,-2.0433275,0.15254389,1,2.91E-13,1.52E-57,1.47E-100,2.19E-253,2.02E-17,0.38331625,1,1.21E-13
TRIM22,-0.06973,-0.56874,-0.42231,6.17258069,5.13677668,5.49766,0.12099,-0.06314,2.95456822,-1.005964,0.6960177,0.48008551,0.00105401,1.40E-62,8.46E-42,1.08E-257,0.75936549,0.89429375,1,0.00419452
MX2,-0.26299,-0.39162,-0.72093,6.21972468,5.21861773,5.27587,0.02393,-0.02925,5.31336819,0.80745446,0.38710634,1,0.0111205,3.17E-41,8.98E-25,0,1,0,1,1
IRF1,-0.17644,-0.11452,0.66139,2.17103365,2.71951104,3.48409,0.71401,2.18976,3.06679682,2.5455946,0.23430177,0.847796,7.83E-09,8.15E-17,1.64E-26,3.88E-276,3.00E-11,1.92E-28,3.88E-147,1.56E-104
IRF7,-0.17227,-0.81423,-0.53428,2.53053303,2.95525258,3.09492,0.49415,2.0135,4.80505536,0.89451092,0.3877691,0.24401604,0.00605881,9.57E-07,1.53E-11,0,0.00406533,0,2.69E-97,0.03990588
STAT1,-0.12905,0.28795,-0.47438,2.51891012,2.04002769,2.46201,0.491,0.7892,1.52336964,-1.3258778,0.41485689,0.54008551,2.40E-05,1.60E-06,0.00010358,7.93E-57,4.34E-05,9.83E-13,3.17E-45,1
ISG20,-0.87631,-0.0386,-0.14396,1.69391692,1.97557668,2.94651,0.53324,0.25242,1.9341632,0.20787683,0.00581568,0.97310557,0.68959913,1,1,1.06E-68,0.0025137,0.56288481,2.10E-28,0.34416075
STAT2,-0.20801,-0.34256,-0.30178,2.6000484,2.83793388,2.3253,0.18519,0.27898,3.29154332,-0.0183338,0.05390736,0.46436006,0.00032416,4.56E-25,6.74E-31,4.47E-172,0.01960451,0.29287968,1.46E-128,0.92439598
ISG15,-0.3696,-0.62225,-0.49584,2.29468209,2.11999938,2.41385,-0.06577,0.2583,4.23540199,0.05209062,0.04157079,0.33707032,0.00038341,1,1,0,0.84042284,0.58466888,1,0.90901547
BST2,-0.2389,-0.36967,0.15565,3.81257432,3.40167209,3.52738,-0.54035,-0.50947,2.3778431,-0.6533785,0.55642514,1,0.74524524,4.07E-12,1.68E-08,0,1,0,5.98E-17,0.06289887
IFITM1,-0.5415,-1.11807,-0.74972,4.62916602,3.57608103,3.56887,0.1403,0.29465,4.57612869,-0.2330779,1.68E-06,1,2.86E-12,4.14E-19,5.52E-10,5.28E-157,0.74766593,0,3.21E-47,1
