"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","cytokine activity","GO:0005125","0.000010396463226029724","4.983114378264263","234","17","6","18602","IFNB1,CXCL2,IL8,TNF,CXCL3,CCL20"
"GO:MF","chemokine activity","GO:0008009","0.00002502294800418485","4.6016615265159135","49","17","4","18602","CXCL2,IL8,CXCL3,CCL20"
"GO:MF","cytokine receptor binding","GO:0005126","0.00002650501907252954","4.5766718789270335","274","17","6","18602","IFNB1,CXCL2,IL8,TNF,CXCL3,CCL20"
"GO:MF","chemokine receptor binding","GO:0042379","0.00011334677236863341","3.945590842211039","71","17","4","18602","CXCL2,IL8,CXCL3,CCL20"
"GO:MF","CXCR chemokine receptor binding","GO:0045236","0.00013018662141136598","3.8854336436153947","18","17","3","18602","CXCL2,IL8,CXCL3"
"GO:MF","receptor ligand activity","GO:0048018","0.0008332211074786931","3.079239736869499","494","17","6","18602","IFNB1,CXCL2,IL8,TNF,CXCL3,CCL20"
"GO:MF","signaling receptor activator activity","GO:0030546","0.0008933728055685226","3.0489672716663767","500","17","6","18602","IFNB1,CXCL2,IL8,TNF,CXCL3,CCL20"
"GO:MF","receptor regulator activity","GO:0030545","0.0014066630589323643","2.8518099176118574","541","17","6","18602","IFNB1,CXCL2,IL8,TNF,CXCL3,CCL20"
"GO:MF","G protein-coupled receptor binding","GO:0001664","0.03057592642357713","1.5146203753529326","292","17","4","18602","CXCL2,IL8,CXCL3,CCL20"
"GO:BP","response to cytokine","GO:0034097","2.469526834047638e-17","16.607386250403223","1238","17","17","18017","EGR1,IFNB1,CXCL2,NFKBIA,SELE,IL8,IRF7,IFITM1,NFIL3,TNF,CXCL3,SOCS1,CD274,IL20RB,CCL20,CCR6,HLA-F"
"GO:BP","cytokine-mediated signaling pathway","GO:0019221","1.195592164306294e-13","12.922416939910518","810","17","14","18017","EGR1,IFNB1,CXCL2,NFKBIA,IL8,IRF7,IFITM1,TNF,CXCL3,SOCS1,IL20RB,CCL20,CCR6,HLA-F"
"GO:BP","cellular response to cytokine stimulus","GO:0071345","1.9341528557299866e-13","12.713509206686927","1143","17","15","18017","EGR1,IFNB1,CXCL2,NFKBIA,IL8,IRF7,IFITM1,NFIL3,TNF,CXCL3,SOCS1,IL20RB,CCL20,CCR6,HLA-F"
"GO:BP","defense response","GO:0006952","2.038372841698604e-10","9.690716375637427","1823","17","15","18017","EGR1,IFNB1,CXCL2,NFKBIA,SELE,IL8,IRF7,IFITM1,TNF,CXCL3,SOCS1,IL20RB,CCL20,CCR6,HLA-F"
