GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADAR,6441.945886,0.573073591,0.105787136,5.417233257,6.05e-08,1.92e-05
AHNAK2,11372.55512,-0.512013356,0.119244447,-4.293812981,1.76e-05,0.003188044
APOL1,265.0722085,0.699512078,0.169292985,4.131961385,3.6e-05,0.005961596
APOL6,249.3519829,0.7136649,0.196991667,3.622817714,0.000291411,0.03420062
AREG,851.1852967,0.567688227,0.128794744,4.407697159,1.04e-05,0.002091661
B2M,4968.688086,0.610810533,0.154533821,3.952600982,7.73e-05,0.011693864
BCL2A1,140.4262251,0.925278409,0.233601196,3.96093182,7.47e-05,0.011478101
BIVM-ERCC5,237.4517763,0.764590162,0.208935721,3.659451608,0.000252756,0.030451454
C19orf66,350.8329889,0.762663878,0.166447036,4.582021369,4.61e-06,0.001027752
C1R,1334.243696,0.802654056,0.13162688,6.097949427,1.07e-09,4.43e-07
C1S,1882.180425,0.712248317,0.120935738,5.8894776,3.87e-09,1.43e-06
C3,1410.122416,0.605295899,0.134620523,4.49631218,6.91e-06,0.001470784
CCL20,245.2191036,1.201189638,0.208889008,5.750372657,8.9e-09,3.03e-06
CDH1,829.3292949,0.552321312,0.127864996,4.319566158,1.56e-05,0.002876164
CFB,345.4832152,1.118934357,0.174814074,6.400710962,1.55e-10,7.26e-08
CFH,510.925496,0.848124654,0.214187884,3.959722832,7.5e-05,0.011478101
CMPK2,21.58300494,2.230455467,0.548495404,4.066498003,4.77e-05,0.007656802
COL1A1,335.6955457,-0.732256612,0.160073892,-4.574491215,4.77e-06,0.001048231
CP,579.3999893,0.855271715,0.184726919,4.629924654,3.66e-06,0.000858618
CXCL1,1568.463862,0.586294318,0.132619771,4.420866604,9.83e-06,0.001997516
CXCL2,487.6846227,0.712180289,0.145021246,4.910868641,9.07e-07,0.000237391
CXCL3,483.4474657,0.622377959,0.16164936,3.850172747,0.000118035,0.016069223
CXCL5,11612.6196,0.958261586,0.147132948,6.512895974,7.37e-11,3.86e-08
CXCL8,1471.678226,0.747983622,0.126211226,5.926442889,3.1e-09,1.17e-06
DANCR,394.4555029,-0.58866636,0.154437813,-3.81167248,0.00013803,0.018422904
DDX58,569.5027982,1.881912015,0.194166812,9.692243444,3.25e-22,3.16e-19
DDX60,265.068312,2.424271232,0.218254147,11.1075609,1.15e-28,1.43e-25
