Index	Chemical_Name	ChEMBL_ID	Pubchem_ID	Uniprot_ID	Protein_Name	Gene_Name	Gene_ID	Confidence_Score	Source_database
1	SN-38	CHEMBL837	104842	P11387	DNA topoisomerase 1	TOP1	7150	1	DrugBank
1	SN-38	CHEMBL837	104842	Q9UNQ0	ATP-binding cassette sub-family G member 2 	ABCG2	9429	0.438	STITCH
2	Hexylresorcinol	CHEMBL443605	3610	P11387	DNA topoisomerase 1	TOP1	7150	1	DrugBank
2	Hexylresorcinol	CHEMBL443605	3610	P14679	Tyrosinase	TYR	7299	1	DrugBank
2	Hexylresorcinol	CHEMBL443605	3610	P21980	Protein-glutamine gamma-glutamyltransferase 2	TGM2	7052	1	DrugBank
3	GSK-1904529A	CHEMBL466397	25124816	P06213	Insulin receptor 	INSR	3643	0.695	STITCH
3	GSK-1904529A	CHEMBL466397	25124816	P08069	Insulin-like growth factor 1 receptor 	IGF1R	3480	0.681	STITCH
4	Linsitinib	CHEMBL1091644	11640390	P06213	Insulin receptor 	INSR	3643	0.662	STITCH
4	Linsitinib	CHEMBL1091644	11640390	P08069	Insulin-like growth factor 1 receptor 	IGF1R	3480	0.651	STITCH
5	Sphingosine	CHEMBL67166	5280335	P15151	Poliovirus receptor	PVR	5817	1	DrugBank
5	Sphingosine	CHEMBL67166	5280335	Q9NZD2	Glycolipid transfer protein	GLTP	51228	1	DrugBank
5	Sphingosine	CHEMBL67166	5280335	Q9NYA1	Sphingosine kinase 1 	SPHK1	8877	0.8	STITCH
5	Sphingosine	CHEMBL67166	5280335	P17612	cAMP-dependent protein kinase catalytic subunit alpha 	PRKACA	5566	0.528	STITCH
5	Sphingosine	CHEMBL67166	5280335	P22694	cAMP-dependent protein kinase catalytic subunit beta 	PRKACB	5567	0.492	STITCH
5	Sphingosine	CHEMBL67166	5280335	P51817	cAMP-dependent protein kinase catalytic subunit PRKX 	PRKX	5613	0.46	STITCH
5	Sphingosine	CHEMBL67166	5280335	P22612	cAMP-dependent protein kinase catalytic subunit gamma 	PRKACG	5568	0.419	STITCH
5	Sphingosine	CHEMBL67166	5280335	Q13237	cGMP-dependent protein kinase 2 	PRKG2	5593	0.419	STITCH
6	Semaxanib	CHEMBL276711	5329098	P36888	Receptor-type tyrosine-protein kinase FLT3 	FLT3	2322	0.913	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q16288	NT-3 growth factor receptor 	NTRK3	4916	0.891	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q96GD4	Aurora kinase B 	AURKB	9212	0.88	STITCH
