Rank	Uniprot_ID	Num_Compounds	Protein_Name	Gene_Name	Gene_ID
1	P35367	11	Histamine H1 receptor	HRH1	3269
2	P08172	10	Muscarinic acetylcholine receptor M2	CHRM2	1129
3	P11229	10	Muscarinic acetylcholine receptor M1	CHRM1	1128
4	P20309	10	Muscarinic acetylcholine receptor M3	CHRM3	1131
5	P08173	9	Muscarinic acetylcholine receptor M4	CHRM4	1132
6	P08912	9	Muscarinic acetylcholine receptor M5	CHRM5	1133
7	O00329	8	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform 	PIK3CD	5293
8	P28223	8	5-hydroxytryptamine receptor 2A 	HTR2A	3356
9	P42345	8	Serine/threonine-protein kinase mTOR	MTOR	2475
10	P28335	7	5-hydroxytryptamine receptor 2C	HTR2C	3358
11	P36888	7	Receptor-type tyrosine-protein kinase FLT3	FLT3	2322
12	P41595	7	5-hydroxytryptamine receptor 2B 	HTR2B	3357
13	P42338	7	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform 	PIK3CB	5291
14	P48736	7	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform 	PIK3CG	5294
15	O60285	6	NUAK family SNF1-like kinase 1	NUAK1	9891
16	P07947	6	Tyrosine-protein kinase Yes	YES1	7525
17	P07949	6	Proto-oncogene tyrosine-protein kinase receptor Ret	RET	5979
18	P08908	6	5-hydroxytryptamine receptor 1A	HTR1A	3350
19	P42336	6	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	PIK3CA	5290
20	Q16584	6	Mitogen-activated protein kinase kinase kinase 11 	MAP3K11	4296
21	Q9Y4K4	6	Mitogen-activated protein kinase kinase kinase kinase 5	MAP4K5	11183
22	O14757	5	Serine/threonine-protein kinase Chk1	CHEK1	1111
23	O15146	5	Muscle, skeletal receptor tyrosine-protein kinase 	MUSK	4593
24	O94804	5	Serine/threonine-protein kinase 10	STK10	6793
25	P06239	5	Tyrosine-protein kinase Lck 	LCK	3932
26	P14416	5	Dopamine D2 receptor	DRD2	1813
27	P35348	5	Alpha-1A adrenergic receptor 	ADRA1A	148
28	P35916	5	Vascular endothelial growth factor receptor 3	FLT4	2324
29	P51812	5	Ribosomal protein S6 kinase alpha-3	RPS6KA3	6197
30	P80192	5	Mitogen-activated protein kinase kinase kinase 9 	MAP3K9	4293
31	Q07912	5	Activated CDC42 kinase 1 	TNK2	10188
32	Q12851	5	Mitogen-activated protein kinase kinase kinase kinase 2 	MAP4K2	5871
33	Q15349	5	Ribosomal protein S6 kinase alpha-2 	RPS6KA2	6196
34	Q15418	5	Ribosomal protein S6 kinase alpha-1 	RPS6KA1	6195
35	Q16288	5	NT-3 growth factor receptor	NTRK3	4916
36	Q16620	5	BDNF/NT-3 growth factors receptor	NTRK2	4915
37	Q5S007	5	Leucine-rich repeat serine/threonine-protein kinase 2	LRRK2	120892
38	Q96GD4	5	Aurora kinase B 	AURKB	9212
39	Q9H2G2	5	STE20-like serine/threonine-protein kinase	SLK	9748
40	Q9HAZ1	5	Dual specificity protein kinase CLK4 	CLK4	57396
41	Q9UK32	5	Ribosomal protein S6 kinase alpha-6	RPS6KA6	27330
42	O00444	4	Serine/threonine-protein kinase PLK4 	PLK4	10733
43	O14965	4	Aurora kinase A	AURKA	6790
44	O95819	4	Mitogen-activated protein kinase kinase kinase kinase 4 	MAP4K4	9448
45	P00533	4	Epidermal growth factor receptor 	EGFR	1956
46	P04626	4	Receptor tyrosine-protein kinase erbB-2 	ERBB2	2064
47	P06213	4	Insulin receptor 	INSR	3643
48	P07333	4	Macrophage colony-stimulating factor 1 receptor 	CSF1R	1436
49	P08913	4	Alpha-2A adrenergic receptor	ADRA2A	150
50	P09619	4	Platelet-derived growth factor receptor beta 	PDGFRB	5159
51	P09769	4	Tyrosine-protein kinase Fgr	FGR	2268
52	P10721	4	Mast/stem cell growth factor receptor Kit 	KIT	3815
53	P18825	4	Alpha-2C adrenergic receptor	ADRA2C	152
54	P25100	4	Alpha-1D adrenergic receptor	ADRA1D	146
55	P29317	4	Ephrin type-A receptor 2 	EPHA2	1969
56	P29376	4	Leukocyte tyrosine kinase receptor 	LTK	4058
57	P29597	4	Non-receptor tyrosine-protein kinase TYK2	TYK2	7297
58	P34969	4	5-hydroxytryptamine receptor 7	HTR7	3363
