Index	Chemical_name	DrugBank_ID	Pubchem_ID
1	SN-38	DB05482	104842
2	Hexylresorcinol	DB11254	3610
3	GSK-1904529A	NA	25124816
4	Linsitinib	NA	11640390
5	Sphingosine	DB03203	5280335
6	Semaxanib	NA	5329098
7	Azathioprine	DB00993	2265
8	Imipramine	DB00458	3696
9	KU-55933	NA	5278396
10	Mesoridazine	DB00933	4078
11	Alisertib	DB05220	24771867
12	Salmeterol	DB00938	5152
13	Terbutaline	DB00871	5403
14	NBI-27914	NA	176157
15	Desoxycorticosterone	NA	6166
16	GR-127935	NA	107780
17	Terfenadine	DB00342	5405
18	Dactolisib	NA	11977753
19	JNJ-16259685	NA	11313361
20	VU-0415374-1	NA	46869940
21	SCH-23390	NA	5018
22	Ezetimibe	DB00973	150311
23	Brompheniramine	DB00835	6834
24	Desipramine	DB01151	2995
25	Oxybutynin	DB01062	4634
26	PKCbeta-inhibitor	NA	6419755
27	Fostamatinib	DB12010	11671467
28	NVP-TAE684	NA	16038120
29	Wortmannin	DB08059	312145
30	PDE-V-Inhibitor II	NA	9844109
31	TPCA-1	NA	9903786
32	STO-609	NA	3467590
33	Bosutinib	DB06616	5328940
34	Benidipine	DB09231	656668
35	Dipyridamole	DB00975	3108
36	PI-103	NA	9884685
37	WHI-P154 (JAK3-Inhibitor-II)	NA	3795
38	AS-605240	DB04769	5289247
39	NU-7441	NA	11327430
40	KU-0063794	NA	16736978
41	Temsirolimus	DB06287	6918289
42	AZD-8055	DB12774	25262965
43	Torin-1	NA	49836027
44	Reserpine	DB00206	5770
45	Telmisartan	DB00966	65999
46	Methimazole	DB00763	1349907
47	Mefenamic acid	DB00784	4044
48	Fludarabine	DB01073	657237
49	TGX-221	NA	9907093
50	Ibuprofen	DB01050	3672
51	Razoxane	NA	30623
52	Somatostatin	DB09099	16129681
53	Leflunomide	DB01097	3899
54	NU-7026 (LY-293646)	NA	9860529
55	Aspirin	DB00945	2244
56	Tolazoline	DB00797	5504
57	Clobenpropit	NA	2790
58	Ponalrestat	NA	5278
59	Ipratropium	DB00332	657309
60	Procyclidine	DB00387	4919
61	Hyoscyamine	DB00424	154417
62	Metixene	DB00340	4167
63	Rescinnamine	DB01180	5280954
64	Pimozide	DB01100	16362
