source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:BP,defense response to virus,GO:0051607,1.60E-33,32.7945557,251,93,32,17906,"ADAR,DDX58,DDX60,DTX3L,EIF2AK2,GBP3,HERC5,IFI16,IFI27,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM3,IRF7,IRF9,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PARP9,PLSCR1,SAMHD1,STAT1,STAT2,TRIM25,TRIM34"
GO:BP,type I interferon signaling pathway,GO:0060337,1.74E-28,27.7597888,95,93,22,17906,"ADAR,IFI27,IFI35,IFI6,IFIT1,IFIT2,IFIT3,IFITM1,IFITM3,IRF7,IRF9,ISG15,MX1,OAS1,OAS2,OAS3,OASL,SAMHD1,SP100,STAT1,STAT2,USP18"
GO:BP,cellular response to type I interferon,GO:0071357,1.74E-28,27.7597888,95,93,22,17906,"ADAR,IFI27,IFI35,IFI6,IFIT1,IFIT2,IFIT3,IFITM1,IFITM3,IRF7,IRF9,ISG15,MX1,OAS1,OAS2,OAS3,OASL,SAMHD1,SP100,STAT1,STAT2,USP18"
GO:BP,response to type I interferon,GO:0034340,4.33E-28,27.3635068,99,93,22,17906,"ADAR,IFI27,IFI35,IFI6,IFIT1,IFIT2,IFIT3,IFITM1,IFITM3,IRF7,IRF9,ISG15,MX1,OAS1,OAS2,OAS3,OASL,SAMHD1,SP100,STAT1,STAT2,USP18"
GO:BP,regulation of viral genome replication,GO:0045069,2.00E-19,18.6998112,100,93,17,17906,"ADAR,CXCL8,EIF2AK2,IFI16,IFI27,IFIT1,IFIT5,IFITM1,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PARP10,PLSCR1"
GO:BP,negative regulation of viral process,GO:0048525,4.61E-19,18.3360938,105,93,17,17906,"EIF2AK2,IFI16,IFIT1,IFIT5,IFITM1,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PARP10,PLSCR1,STAT1,TRIM14,TRIM25"
GO:BP,regulation of viral process,GO:0050792,7.33E-18,17.1351271,212,93,20,17906,"ADAR,CXCL8,EIF2AK2,IFI16,IFI27,IFIT1,IFIT5,IFITM1,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PARP10,PLSCR1,STAT1,TRIM14,TRIM25"
GO:BP,regulation of viral life cycle,GO:1903900,9.44E-18,17.025154,152,93,18,17906,"ADAR,CXCL8,EIF2AK2,IFI16,IFI27,IFIT1,IFIT5,IFITM1,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PARP10,PLSCR1,TRIM25"
GO:BP,negative regulation of viral genome replication,GO:0045071,1.31E-17,16.8835628,63,93,14,17906,"EIF2AK2,IFI16,IFIT1,IFIT5,IFITM1,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PARP10,PLSCR1"
GO:BP,viral genome replication,GO:0019079,1.34E-17,16.8718123,128,93,17,17906,"ADAR,CXCL8,EIF2AK2,IFI16,IFI27,IFIT1,IFIT5,IFITM1,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PARP10,PLSCR1"
GO:BP,"regulation of symbiosis, encompassing mutualism through parasitism",GO:0043903,2.27E-17,16.6448644,226,93,20,17906,"ADAR,CXCL8,EIF2AK2,IFI16,IFI27,IFIT1,IFIT5,IFITM1,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PARP10,PLSCR1,STAT1,TRIM14,TRIM25"
GO:BP,negative regulation of multi-organism process,GO:0043901,2.39E-17,16.6217558,227,93,20,17906,"ADAR,EIF2AK2,IFI16,IFIT1,IFIT5,IFITM1,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PARP10,PARP14,PLSCR1,SAMHD1,STAT1,TRIM14,TRIM25"
GO:BP,negative regulation of viral life cycle,GO:1903901,3.85E-17,16.4140475,88,93,15,17906,"EIF2AK2,IFI16,IFIT1,IFIT5,IFITM1,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PARP10,PLSCR1,TRIM25"
GO:BP,response to interferon-gamma,GO:0034341,4.62E-17,16.3353075,200,93,19,17906,"B2M,CCL20,EDN1,GBP3,IFITM1,IFITM3,IRF7,IRF9,KYNU,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,SP100,STAT1,TRIM25,TRIM34"
GO:BP,interferon-gamma-mediated signaling pathway,GO:0060333,5.06E-14,13.2958343,87,93,13,17906,"B2M,IRF7,IRF9,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,SP100,STAT1,TRIM25,TRIM34"
GO:BP,cellular response to interferon-gamma,GO:0071346,8.45E-14,13.0732109,180,93,16,17906,"B2M,CCL20,EDN1,GBP3,IRF7,IRF9,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,SP100,STAT1,TRIM25,TRIM34"
GO:BP,regulation of response to cytokine stimulus,GO:0060759,2.61E-07,6.5835254,190,93,11,17906,"ADAR,DDX58,EDN1,HIF1A,IFIH1,IRF7,PARP14,PARP9,SAMHD1,STAT1,USP18"
