"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","innate immune response","GO:0045087","2.0022458595733103e-30","29.698482595737737","988","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","defense response to other organism","GO:0098542","4.32242895093885e-28","27.364272136624034","1212","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","response to other organism","GO:0051707","6.314996303721631e-25","24.19962689930877","1600","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","response to external biotic stimulus","GO:0043207","6.52514509297317e-25","24.185409826920406","1602","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","response to biotic stimulus","GO:0009607","1.0956252317280176e-24","23.960337974707535","1634","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","defense response","GO:0006952","1.9257810441314372e-23","22.715393092461277","1823","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","defense response to virus","GO:0051607","1.9482187043496367e-22","21.710362291420065","265","26","17","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,SAMHD1,HERC5,GBP3,STAT2,TRIM25"
"GO:BP","interspecies interaction between organisms","GO:0044419","4.964621569573979e-21","20.30411385019166","2254","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","immune response","GO:0006955","8.136758117693527e-21","20.089548594132484","2297","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","response to virus","GO:0009615","3.230582180346618e-20","19.490719206793106","356","26","17","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,SAMHD1,HERC5,GBP3,STAT2,TRIM25"
"GO:BP","response to cytokine","GO:0034097","4.162242075494704e-19","18.38067266487541","1238","26","22","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","response to external stimulus","GO:0009605","8.336775263262033e-18","17.079001905740665","2995","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","immune system process","GO:0002376","9.455451704541378e-17","16.024317719266968","3287","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","response to interferon-gamma","GO:0034341","3.504530688172989e-16","15.45537013267121","198","26","13","18017","IRF7,PARP9,IRF9,TRIM34,STAT1,CCL20,PARP14,SP100,GBP3,B2M,KYNU,TRIM25,EDN1"
"GO:BP","cellular response to type I interferon","GO:0071357","5.813328008704313e-16","15.23557517190833","95","26","11","18017","IFI6,IRF7,IRF9,IFIT3,STAT1,IFIT2,SAMHD1,IFI35,SP100,USP18,STAT2"
"GO:BP","type I interferon signaling pathway","GO:0060337","5.813328008704313e-16","15.23557517190833","95","26","11","18017","IFI6,IRF7,IRF9,IFIT3,STAT1,IFIT2,SAMHD1,IFI35,SP100,USP18,STAT2"
"GO:BP","cytokine-mediated signaling pathway","GO:0019221","8.693764836610446e-16","15.060792111504707","810","26","18","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,USP18,B2M,STAT2,TRIM25,EDN1"
"GO:BP","response to type I interferon","GO:0034340","9.355725277517179e-16","15.02892253934365","99","26","11","18017","IFI6,IRF7,IRF9,IFIT3,STAT1,IFIT2,SAMHD1,IFI35,SP100,USP18,STAT2"
"GO:BP","cellular response to interferon-gamma","GO:0071346","8.483657197426567e-15","14.071416888514015","178","26","12","18017","IRF7,PARP9,IRF9,TRIM34,STAT1,CCL20,PARP14,SP100,GBP3,B2M,TRIM25,EDN1"
"GO:BP","cellular response to cytokine stimulus","GO:0071345","1.0908799740128727e-14","13.96222303079704","1143","26","19","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,STAT2,TRIM25,EDN1"
"GO:BP","response to stress","GO:0006950","5.3180419668922374e-14","13.274248239791627","4190","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","immune effector process","GO:0002252","4.2323334063463784e-12","11.373420127638026","1309","26","18","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,SAMHD1,HERC5,GBP3,B2M,STAT2,TRIM25"
"GO:BP","interferon-gamma-mediated signaling pathway","GO:0060333","4.542888884622e-12","11.342667885546298","87","26","9","18017","IRF7,PARP9,IRF9,TRIM34,STAT1,PARP14,SP100,B2M,TRIM25"
"GO:BP","cellular response to organic substance","GO:0071310","4.763030496065602e-10","9.32211663783953","2797","26","21","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,STAT2,TRIM25,EDN1"
"GO:BP","response to organic substance","GO:0010033","1.532057812520815e-9","8.814724846201425","3433","26","22","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","regulation of response to cytokine stimulus","GO:0060759","8.248144518960828e-9","8.083643738214676","197","26","9","18017","IRF7,PARP9,DDX58,IFIH1,STAT1,SAMHD1,PARP14,USP18,EDN1"
"GO:BP","cellular response to chemical stimulus","GO:0070887","2.6894330298599898e-8","7.570339265706129","3419","26","21","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,STAT2,TRIM25,EDN1"
"GO:BP","regulation of response to biotic stimulus","GO:0002831","1.8941641189805299e-7","6.722582394456455","405","26","10","18017","IRF7,DDX60,PARP9,DDX58,DTX3L,STAT1,SAMHD1,PARP14,HERC5,USP18"
"GO:BP","positive regulation of response to cytokine stimulus","GO:0060760","2.7942764034393383e-7","6.553730636678808","57","26","6","18017","IRF7,PARP9,DDX58,IFIH1,PARP14,EDN1"
"GO:BP","response to chemical","GO:0042221","0.000001777994687189819","5.750069541075362","4808","26","22","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
