Index	Score	Chemical_name	DrugBank_ID	Pubchem_ID	Uniprot_ID	Protein_Name	Gene_Name	Gene_ID	Confidence_Score	Source_database
1	-99.98	BI-78D3	NA	2747117	P45983	Mitogen-activated protein kinase 8 	MAPK8	5599	0.452	STITCH
1	-99.98	BI-78D3	NA	2747117	P45984	Mitogen-activated protein kinase 9 	MAPK9	5601	0.409	STITCH
2	-99.98	Xaliproden	DB06393	NA	P08908	5-hydroxytryptamine receptor 1A	HTR1A	3350	1	DrugBank
3	-99.98	Palonosetron	DB00377	6337614	P46098	5-hydroxytryptamine receptor 3A	HTR3A	3359	1	DrugBank
4	-99.98	Clarithromycin	DB01211	84029	Q12809	Potassium voltage-gated channel subfamily H member 2	KCNH2	3757	1	DrugBank
4	-99.98	Clarithromycin	DB01211	84029	Q9Y6L6	Solute carrier organic anion transporter family member 1B1	SLCO1B1	10599	1	DrugBank
4	-99.98	Clarithromycin	DB01211	84029	Q9NPD5	Solute carrier organic anion transporter family member 1B3	SLCO1B3	28234	1	DrugBank
5	-99.98	Nimodipine	DB00393	4497	P35869	Aryl hydrocarbon receptor	AHR	196	1	DrugBank
5	-99.98	Nimodipine	DB00393	4497	Q13936	Voltage-dependent L-type calcium channel subunit alpha-1C	CACNA1C	775	1	DrugBank
5	-99.98	Nimodipine	DB00393	4497	Q01668	Voltage-dependent L-type calcium channel subunit alpha-1D	CACNA1D	776	1	DrugBank
5	-99.98	Nimodipine	DB00393	4497	O60840	Voltage-dependent L-type calcium channel subunit alpha-1F	CACNA1F	778	1	DrugBank
5	-99.98	Nimodipine	DB00393	4497	Q13698	Voltage-dependent L-type calcium channel subunit alpha-1S	CACNA1S	779	1	DrugBank
5	-99.98	Nimodipine	DB00393	4497	Q02641	Voltage-dependent L-type calcium channel subunit beta-1	CACNB1	782	1	DrugBank
5	-99.98	Nimodipine	DB00393	4497	Q08289	Voltage-dependent L-type calcium channel subunit beta-2	CACNB2	783	1	DrugBank
5	-99.98	Nimodipine	DB00393	4497	P54284	Voltage-dependent L-type calcium channel subunit beta-3	CACNB3	784	1	DrugBank
5	-99.98	Nimodipine	DB00393	4497	O00305	Voltage-dependent L-type calcium channel subunit beta-4	CACNB4	785	1	DrugBank
5	-99.98	Nimodipine	DB00393	4497	P08235	Mineralocorticoid receptor	NR3C2	4306	1	DrugBank
6	-99.98	isoliquiritigenin	DB03285	638278	P15121	Aldose reductase 	AKR1B1	231	0.594	STITCH
7	-99.98	cyclazosin	NA	132266	P35348	Alpha-1A adrenergic receptor 	ADRA1A	148	0.713	STITCH
7	-99.98	cyclazosin	NA	132266	P35368	Alpha-1B adrenergic receptor 	ADRA1B	147	0.869	STITCH
7	-99.98	cyclazosin	NA	132266	P25100	Alpha-1D adrenergic receptor 	ADRA1D	146	0.907	STITCH
