Rank	Uniprot_ID	Num_Compounds	Protein_Name	Gene_Name	Gene_ID
1	P28223	26	5-hydroxytryptamine receptor 2A 	HTR2A	3356
2	P35348	24	Alpha-1A adrenergic receptor 	ADRA1A	148
3	P41595	22	5-hydroxytryptamine receptor 2B 	HTR2B	3357
4	P28335	22	5-hydroxytryptamine receptor 2C 	HTR2C	3358
5	P35368	21	Alpha-1B adrenergic receptor 	ADRA1B	147
6	P14416	21	Dopamine D2 receptor	DRD2	1813
7	P35462	21	Dopamine D3 receptor	DRD3	1814
8	P35367	21	Histamine H1 receptor 	HRH1	3269
9	P25100	19	Alpha-1D adrenergic receptor 	ADRA1D	146
10	P08913	19	Alpha-2A adrenergic receptor 	ADRA2A	150
11	P18089	17	Alpha-2B adrenergic receptor 	ADRA2B	151
12	P08908	16	5-hydroxytryptamine receptor 1A	HTR1A	3350
13	P18825	16	Alpha-2C adrenergic receptor 	ADRA2C	152
14	P11229	15	Muscarinic acetylcholine receptor M1	CHRM1	1128
15	P21728	14	Dopamine D1 receptor	DRD1	1812
16	P08172	14	Muscarinic acetylcholine receptor M2	CHRM2	1129
17	P20309	13	Muscarinic acetylcholine receptor M3	CHRM3	1131
18	P08173	13	Muscarinic acetylcholine receptor M4	CHRM4	1132
19	P08912	13	Muscarinic acetylcholine receptor M5	CHRM5	1133
20	P50406	12	5-hydroxytryptamine receptor 6 	HTR6	3362
21	P34969	12	5-hydroxytryptamine receptor 7 	HTR7	3363
22	P31645	11	Sodium-dependent serotonin transporter	SLC6A4	6532
23	P21918	10	Dopamine D5 receptor	DRD5	1816
24	P10275	10	Androgen receptor	AR	367
25	Q01959	10	Sodium-dependent dopamine transporter	SLC6A3	6531
26	P23975	9	Sodium-dependent noradrenaline transporter	SLC6A2	6530
27	Q12809	8	Potassium voltage-gated channel subfamily H member 2	KCNH2	3757
28	P08588	8	Beta-1 adrenergic receptor 	ADRB1	153
29	P07550	8	Beta-2 adrenergic receptor 	ADRB2	154
30	P28222	8	5-hydroxytryptamine receptor 1B 	HTR1B	3351
31	P46098	7	5-hydroxytryptamine receptor 3A	HTR3A	3359
32	Q99720	7	Sigma non-opioid intracellular receptor 1 	SIGMAR1	10280
33	P03372	7	Estrogen receptor	ESR1	2099
